id,title,artist,album,duration_sec,rank,explicit
3838041601,Whispers of Velthara,Ashumivael,Whispers of Velthara,212,647403,False
2939590111,UWAIE,Kapo,UWAIE,172,751760,False
3100867631,mi refe,Beele,mi refe,160,801382,False
1234364682,Bayiti (rRoxymore Remix),Alostmen,Bayiti (rRoxymore Remix),325,56489,False
3353337101,no tiene sentido,Beele,BORONDO,159,840940,False
3353337131,top diesel,Beele,BORONDO,190,739733,False
3557468621,Una Noche Más,Martina Stoessel,Una Noche Más,159,591522,False
3353337171,si te pillara,Beele,BORONDO,185,681873,False
3427618651,DÓNDE,Kapo,POR SI ALGUIEN NOS ESCUCHA,193,725069,True
3516131281,Mírame Ahora,Manuel Turizo,Mírame Ahora,154,541266,False
1839253827,Última Llamada,Guts,Estrellas,544,289875,False
2824575332,OHNANA,Kapo,OHNANA,156,755277,False
1563415072,Desesperados,Rauw Alejandro,Desesperados,224,766571,True
127248351,Your Number,Ayo Jay,Your Number,204,574084,False
3540952821,Un Vacío,Mike Bahía,Un Vacío,151,74311,False
10099058,No Condition Is Permanent,Marijata,This Is Marijata,421,157037,False
1663174962,Lahbib Rassoul Allah,Hamid El Kasri,Roots & Plugged,651,77648,False
2725148591,Santa,Rvssian,Santa,192,881783,False
3316089041,Kai!,Olamide,Kai!,175,480695,True
3787745842,JEJE II,boyBlandi,JEJE II,159,436304,False
2521947271,Douala By Night,Tim & Foty,J.M. Tim & Foty,188,67948,False
3260565211,ILY,Kapo,ILY,218,567600,False
2481308251,Me & U,Tems,Me & U,192,789562,False
2997394611,frente al mar,Beele,frente al mar,165,702131,False
3427618611,X TI,Kapo,POR SI ALGUIEN NOS ESCUCHA,215,640003,True
3781344252,LET ME BE,The Second Voice,LET ME BE,189,961873,False
752155092,love nwantiti (ah ah ah),CKay,CKay The First,145,825191,True
3377877901,KORAZONG,Kapo,KORAZONG,177,625419,False
3257124661,sobelove,Beele,sobelove,135,669282,False
3765778262,Jogodo,Wizkid,Jogodo,188,702828,False
3858273341,Big Bum Bum,Kidd Carder,Big Bum Bum,159,408494,False
3870278631,Where Do We Go,Ayra Starr,Where Do We Go,176,909703,False
3353337121,quédate,Beele,BORONDO,180,713347,False
100357738,Yegle Nesh,Hailu Mergia,Hailu / Yegle Nesh,197,93198,False
1863197337,No Room For Love,Majeeed,Bitter Sweet,189,299061,False
368671201,Fall,Davido,Fall,240,650751,False
2883553712,Déjame Entrar,Rauw Alejandro,Déjame Entrar,258,674280,True
1047833402,PAMI,DJ Tunez,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",213,530284,False
1687241937,Finesse,Pheelz,Finesse,155,677430,False
285341591,Mam Yinne Wa,Alogte Oho & His Sounds of Joy,Mam Yinne Wa,235,210824,False
1733702987,Buga (Lo Lo Lo),Kizz Daniel,Buga (Lo Lo Lo),183,554716,False
3427618681,NO CRY,Kapo,POR SI ALGUIEN NOS ESCUCHA,166,659687,False
692763042,Besoka on Salsa,Manu Dibango,Manu 76,457,95078,False
117730458,Will You Promise,Ebo Taylor,My Love and Music,226,231734,False
627769212,More,ROB,Rob (Funky Rob Way),315,66308,False
2965571441,yawa,Fireboy DML,adedamola,180,177342,True
2885636572,Lomo Lomo,KiDi,Lomo Lomo,175,586361,False
2056963067,People,Libianca,People,184,775957,False
2324457295,Remember,Asake,Work Of Art,182,477490,False
142337581,If,Davido,If,238,543438,False
10519805,Mouhamadou Bamba,Orchestra Baobab,Bamba,396,171369,False
85056328,Liberté,Franco & le T.P OK Jazz,World Legends,305,49467,False
63186352,Nalésonko,Ballaké Sissoko,At Peace,353,198556,False
627769162,Funky Rob Way,ROB,Rob (Funky Rob Way),374,28630,False
3567226821,Nesesari,Kizz Daniel,No Bad Songz,178,696362,False
3208543131,Más Que Tú,Ozuna,Más Que Tú,195,647426,False
369651211,Nongui Nongui,Star Number One de Dakar,La belle époque,284,98394,False
2906324471,Favourite Girl (with Rema),Darkoo,Favourite Girl (with Rema),184,460308,False
1780496117,KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW,147,718183,False
2528007911,morena,Beele,morena,188,640945,False
2133390187,GWAGWALADA,BNXN,GWAGWALADA,188,475843,False
117730452,Maye Omama,Ebo Taylor,My Love and Music,282,113753,False
1841735037,Joha,Asake,Mr. Money With The Vibe,148,495849,False
405134322,Fouta Toro,Orchestra Baobab,"La belle époque, Vol. 2: 1973-1976",314,30157,False
7037814,Lagos Sisi,Bola Johnson,Man No Die,203,211001,False
3070403131,alone (Remix),FOLA,what a feeling,154,205830,False
3765782482,Turbulence,Wizkid,"REAL, Vol. 1",145,559440,False
3180046411,Joy Is Coming,Fido,Joy Is Coming,189,400418,False
3783197342,Sowa,Fatoumata Diawara,Fatou,186,608261,False
7465333,Iye-Iye Oh - Ekassa Hi-Life,Sir Victor Uwaifo,Ekassa Superstar,185,26203,False
2875997612,Heaven,Ebo Taylor,Ebo Taylor,365,315203,False
3427618561,RUFF,Kapo,POR SI ALGUIEN NOS ESCUCHA,145,636859,False
3765782512,Alaye,Wizkid,"REAL, Vol. 1",155,500145,False
627769182,Boogie On,ROB,Rob (Funky Rob Way),250,166055,False
3253094841,My Darling,Chella,My Darling,146,713687,False
96485040,Confidence,Kim,Premiers pas,224,852951,False
3356310051,Baddies,Aya Nakamura,Baddies,207,926037,False
2142430747,Libianca People,asapkid,Libianca People,82,94824,False
63612559,Guitar Boy,Sir Victor Uwaifo,Greatest Hits Vol. 1,343,11738,False
3626239242,Umaqondana,Feza,Inkanyezi,272,336376,False
73527396,You Need Love,Ebo Taylor,Conflict,429,278557,False
2931011351,MMS,Asake,Lungu Boy,219,665562,False
13766547,Boiro,Bembeya Jazz National,Special recueil-souvenir à la mémoire d'Aboubacar Demba Camara (Bolibana Collection),236,94492,False
3141707031,ALOH ALOH,Kapo,ALOH ALOH,137,649912,False
3765782502,Iskolodo,Wizkid,"REAL, Vol. 1",156,442840,False
3633306692,All My Life,Francis Mercier,All My Life,207,723118,False
1807498027,soso,Omah Lay,Boy Alone,183,770381,False
3230517051,"Charger (feat. MC YOSHI, Mauvais djo & Kokosvoice)",TRIANGLE DES BERMUDES,Franchement !,155,972799,False
13766548,Ballake,Bembeya Jazz National,Special recueil-souvenir à la mémoire d'Aboubacar Demba Camara (Bolibana Collection),489,131693,False
115700118,Pula Merengue,Os Kiezos,Angola Anos d'Ouro: Reviver Os Kiezos,247,35493,False
3643008632,WAIST,Omah Lay,WAIST,165,668605,False
3138570961,Alma,Zaider,Alma,145,563837,False
94555846,Classic Man (feat. Roman GianArthur),Jidenna,Classic Man (feat. Roman GianArthur),225,432999,True
926591722,Pé Di Bissilon,Bandé-Gamboa,Horizonte - Revamping Rare Gems from Cabo Verde and Guinea-Bissau,260,128067,False
117730454,My Love and Music,Ebo Taylor,My Love and Music,470,189141,False
3440967721,Loyal,Chella,Loyal,160,466920,False
3870891381,Tus Ojitos,La Pura Doble P,Tus Ojitos,274,519477,False
10359305,Samba,Les Amazones de Guinée,Au coeur de Paris & M'mah Sylla (Bolibana Collection),297,186262,False
143843038,Teacher,Gyedu-Blay Ambolley,Ketan,416,269510,False
3459971851,you,FOLA,you,165,671031,False
831141422,Makom Ma Bobe,Jeannette Ndiaye,Makom Ma Bobe,267,287013,False
365944691,Samaxol Fatou Diop,Orchestra Baobab,La belle époque,308,26824,False
10713037,On The Spot,Geraldo Pino,Heavy Heavy Heavy,320,32567,False
405134362,Fethial Way Sama Xol,Orchestra Baobab,"La belle époque, Vol. 2: 1973-1976",289,57828,False
3298034041,4 Kampé II,Joé Dwet Filé,4 Kampé II,211,423525,True
9803841,Bassa-Bassa,Osibisa,Happy Children,295,31988,False
3140108821,Frente al Mar,Beele,Frente al Mar,196,567693,False
2931011441,Uhh Yeahh,Asake,Lungu Boy,204,391232,False
2517734421,HOLY GHOST,Omah Lay,HOLY GHOST,186,711882,False
3262396621,Arike,Kunmie,Before We Became Strangers,124,473940,False
592670672,Seydou Bathily,Salif Keïta,Seydou bathily,559,115884,False
3812359372,DON'T LOVE ME,Omah Lay,DON'T LOVE ME,181,712236,False
3427618641,ANTES,Kapo,POR SI ALGUIEN NOS ESCUCHA,231,551728,False
2061629687,Jangolova (Bonus),Afro Nation,Afro Nation Vol.1,182,304575,False
431338152,1er Gaou,Magic System,1er Gaou,295,772140,False
2551462532,Happiness (feat. Asake & Gunna),Sarz,Happiness (feat. Asake & Gunna),174,504891,False
97329536,Café,Le TP OK Jazz,1967-1968,341,57333,False
3427618591,"BAÚL DE LOS RECUERDOS, PART 1",Kapo,POR SI ALGUIEN NOS ESCUCHA,143,519422,False
3421409441,99,Olamide,Olamidé,248,515225,False
10099059,Break Through,Marijata,This Is Marijata,299,65950,False
3039610501,Minimum ça,Dr. Yaro,Minimum ça,149,961051,False
1397501142,Camera,Patrice Roberts,Camera,170,70308,False
103006776,Pata pata,Miriam Makeba,Golden voices of Africa,177,714308,False
10713029,Let Them Talk,Geraldo Pino,Heavy Heavy Heavy,316,103853,False
3671385052,Intentions (feat. Urban Chords),Fave,Intentions (feat. Urban Chords),149,537341,False
1826441167,Propeller (feat. Dave & BNXN),Jae5,Propeller (feat. Dave & BNXN),203,437047,True
