id,title,artist,album,duration_sec,rank,explicit
1899060227,End of Beginning,Djo,DECIDE,159,999711,False
3151351511,back to friends,sombr,back to friends,199,980345,False
2801558052,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210,963029,False
2365569495,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,138,924664,False
2759124521,Juna,Clairo,Charm,195,723016,False
2609033982,Scared To Start,Michael Marcagi,Scared To Start,159,660293,False
2758511491,No One Noticed,The Marías,If Only + No One Noticed,236,548565,False
2310201655,Stick Season,Noah Kahan,Stick Season (We'll All Be Here Forever),182,843200,False
3567385391,Dracula,Tame Impala,Dracula,205,928894,True
3777292572,To Love Somebody,Holly Humberstone,To Love Somebody,238,329242,False
3471224101,12 to 12,sombr,12 to 12,242,991896,False
3285890751,mangetout,Wet Leg,moisturizer,204,832914,True
3811460002,POSSESSION,Melanie Martinez,POSSESSION,187,661376,True
3791401032,Aperture,Harry Styles,Aperture,311,967811,False
3651959272,White Keys,Dominic Fike,White Keys,141,954937,False
2461123655,Hell N Back (feat. Summer Walker),Bakar,Halo,195,746817,True
70403444,A World Alone,Lorde,Pure Heroine,294,662000,False
3786630692,Dancing On The Wall,MUNA,Dancing On The Wall,244,709197,False
2816073782,Sienna,The Marías,Submarine,224,852607,False
2622232942,Home,Good Neighbours,Home,157,715543,False
1869458267,I'm In Love With You,The 1975,I'm In Love With You,262,563360,True
2899309131,Lonely Road,Machine Gun Kelly,Lonely Road,189,663422,False
993641082,Wildfires,Sault,Untitled (Black Is),206,749449,False
2477268411,She Calls Me Back,Noah Kahan,She Calls Me Back,245,145840,False
14932098,Lonely Boy,The Black Keys,El Camino,193,836048,False
938553,Cars,Gary Numan,The Pleasure Principle,238,600627,False
69962764,Should I Stay or Should I Go (Remastered),The Clash,Combat Rock (Remastered),186,948769,False
2758844701,Stargazing,Myles Smith,Stargazing,172,950603,False
78240216,Every Time the Sun Comes Up,Sharon Van Etten,Are We There,263,550154,False
828216172,Texas Sun,Khruangbin,Texas Sun,252,725686,False
778429,Good Riddance (Time of Your Life),Green Day,Nimrod,153,813668,True
96861542,The Only Thing,Sufjan Stevens,Carrie & Lowell,284,515736,False
136334560,Losing My Religion,R.E.M.,Out Of Time,266,942058,False
105281106,Sea of Love,Cat Power,The Covers Record,139,537880,False
725274,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),329,957783,False
1357792772,First Day of My Life,Bright Eyes,"I'm Wide Awake, It's Morning",189,644648,False
90326361,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,197,909190,False
366916761,Semi-Charmed Life,Third Eye Blind,Third Eye Blind (20th Anniversary Edition),268,481890,False
680516,Dani California,Red Hot Chili Peppers,Stadium Arcadium,282,859710,False
985722002,Don't Look Back In Anger,Oasis,Don't Look Back In Anger,287,895607,False
775757002,Interstate Love Song (2019 Remaster),Stone Temple Pilots,Purple (Super Deluxe Edition) (2019 Remaster),194,425938,False
725241,Around the World,Red Hot Chili Peppers,Californication (Deluxe Edition),238,697933,True
3524652351,Vivid Light,Blood Orange,Essex Honey,262,688138,False
3230484081,Safeandsound,Parcels,Safeandsound,277,680208,False
3464278441,Mind Reader,Alice Phoebe Lou,Oblivion,163,585989,False
347015861,On the Level,Mac DeMarco,This Old Dog,228,650791,False
75716617,Magic,Coldplay,Magic,285,750157,False
1627955162,Simulation Swarm,Big Thief,Dragon New Warm Mountain I Believe In You,252,614053,False
1137208172,New Slang,The Shins,"Oh, Inverted World",231,692132,False
78956229,My Silver Lining,First Aid Kit,Stay Gold,215,730778,False
60449861,The One I Love (Remastered 2012),R.E.M.,Document - 25th Anniversary Edition,196,441860,False
16501728,We Are Young (feat. Janelle Monáe),Fun.,Some Nights,250,897622,False
14944631,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before The Snowstorm,173,234015,False
124088594,Light Upon the Lake,Whitney,Light Upon the Lake,189,220651,False
1551696422,In The Morning (Solstice Version),Fleet Foxes,A Very Lonely Solstice,132,233609,False
1137179712,Such Great Heights,Iron & Wine,Around the Well,251,579038,False
422480332,Only in My Dreams,The Marías,"Superclean, Vol. I",170,507592,False
70403437,Royals,Lorde,Pure Heroine,190,827509,False
