id,title,artist,album,duration_sec,rank,explicit
62497877,Lay Down Sally,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),230,494983,False
2171221,A Sunday Kind Of Love,Etta James,At Last!,196,815388,False
2148396857,I’d Rather Go Blind,Chicken Shack,The Very Best of Chicken Shack,193,148066,False
3151773,Going Up The Country (Remastered 2005),Canned Heat,The Very Best Of Canned Heat,173,640414,False
3309780971,Boots on the Ground,803Fresh,Boots on the Ground,203,437602,False
62497879,We're All The Way,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),152,191888,False
2315732,Loving You Is Sweeter Than Ever,Susan Tedeschi,Hope And Desire,237,186164,False
2171224,At Last,Etta James,At Last!,180,799603,False
548865542,I'd Rather Go Blind,Etta James,The Essential Etta James,154,42280,False
1036732362,Done Lyin’,Aaron Frazer,Introducing...,189,305656,False
3694934292,Up From Here,Moonchild,Up From Here,258,270186,False
1036732322,If I Got It (Your Love Brought It),Aaron Frazer,Introducing...,174,685684,False
1384398702,You Are My Sunshine,Ray Charles,True Genius,179,226815,False
693407312,This Is My Home,Keb' Mo',Oklahoma,293,149075,False
767185,What Would I Do Without You,Ray Charles,Yes Indeed!,158,91600,False
120342104,Ain't No Love In The Heart Of The City (Single Version),"Bobby ""Blue"" Bland",Dreamer,231,519619,False
2006423277,"Baby, Baby",ULBERT UNDERGROUND,Ulbert Underground (Live Session),238,32717,False
13810910,Georgia On My Mind,Ray Charles,Genius of Soul,218,233563,False
10101850,Layla,Derek & The Dominos,Layla And Other Assorted Love Songs (Remastered 2010),425,474776,False
1101968,Laurel Canyon Home,John Mayall & The Bluesbreakers,Blues From Laurel Canyon,273,184009,False
1138403552,We Made It,Cedric Burnside,Benton County Relic,215,315675,False
1708633367,Livin' for the Ones,Bonnie Raitt,Livin' for the Ones,184,26548,False
1857148567,Nightlife Blues,North Downs,Dad's Old Tapes,227,181200,False
69991461,Part of Me,Tedeschi Trucks Band,Made Up Mind,246,330737,False
62497876,Wonderful Tonight,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),224,434180,False
1412027772,Sweet Vibrations,Latimore,It Ain't Where You Been,270,160829,False
3222421651,Look Out Highway,Charlie Musselwhite,Look Out Highway,211,150705,False
1643296542,Ain't That Lovin' You,Delbert McClinton,Ain't That Lovin' You,139,2230,False
487733752,I Got a Mind to Give up Living,The Paul Butterfield Blues Band,I Got My Mojo Working,298,188952,False
538698692,The Thrill Is Gone,B.B. King,Completely Well,325,722640,False
5474077,It's All Over Your Face,Ronnie Dyson,Constantly,366,73639,False
2108534607,I'm So Lonely,The Holmes Brothers,Simple Truths,280,84773,False
1190473,Runaway (2008 Remaster),Bonnie Raitt,Sweet Forgiveness,237,87121,False
86037475,See That My Grave Is Kept Clean,Blind Lemon Jefferson,Blind Lemon Jefferson,176,32293,False
846490792,Floating Bridge,Sleepy John Estes,Goin' To Brownsville,233,8929,False
1190465,Everybody's Cryin' Mercy (2008 Remaster),Bonnie Raitt,Takin' My Time,209,118244,False
35527761,Going Down to Mobile,Savoy Brown,Hellbound Train,253,13465,False
4086768,Crusin' for a Love,The J. Geils Band,The J. Geils Band,151,142867,False
538656562,Feel Like Going Home,Muddy Waters,Folk Singer (Expanded Edition),237,148403,False
1099205,Roadhouse Blues (Live),Albert King,Blues At Sunrise,606,74944,False
2208834897,I'm Com'un Home in the Morn'un,Lou Pride,Keep On Believing,319,151712,False
135710352,Let My Baby Ride,R.L. Burnside,Come on In,180,360587,False
2269623397,Somebody Loan Me A Dime (Remastered),Fenton Robinson,Somebody Loan Me A Dime (Remastered),177,198611,False
1734073367,Boogie Chillen',John Lee Hooker,Documenting the Sensation Recordings 1948-1952,190,66789,False
3369742811,Junkyard Dog,Taj Mahal,Room On The Porch,260,228618,False
540489682,That's All Right (1950 Single Version),Jimmy Rogers,The Complete Chess Recordings,169,60465,False
5636528,Hide Away,Freddie King,Are You Ready For Freddie?,264,66700,False
935793042,Good Morning Little Schoolgirl,Mississippi Fred McDowell,Good Morning Little School Girl,201,163217,False
2299928,Bring It On Home,Sonny Boy Williamson II,His Best,155,32342,False
5079078,Born Under A Bad Sign,Albert King,Born Under A Bad Sign,167,496483,False
548275852,Why I Sing The Blues,B.B. King,Definitive Greatest Hits,520,317493,False
1507324292,’62 Chevy,Keb' Mo',Good To Be...,208,185133,False
136370628,Goin' Down South,R.L. Burnside,Too Bad Jim,351,107801,False
4110837,"If I Can't Sell It, I'll Keep Sittin' On It",Ruth Brown,Blues On Broadway,326,101083,False
3684707,Walk On,Sonny Terry and Brownie McGhee,Absolutely The Best: Sonny Terry and Brownie McGhee,190,64049,False
13805993,Polk Salad Annie,Tony Joe White,Black & White,223,218365,False
62497875,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),220,491814,False
1769219177,Fairweather Friend,GA-20,Crackdown,165,104955,False
355698461,Diving Duck Blues,Taj Mahal,TajMo,268,385805,False
71244502,Spoonful,Howlin' Wolf,Howlin' Wolf - Spoonful,166,136702,False
1762363217,Hound Dog (Single Version),Big Mama Thornton,Hound Dog / The Peacock Recordings,170,57620,False
877023,Smoking Gun,Robert Cray,Strong Persuader,245,314776,False
2018001,Pea Vine Blues,Charley Patton,Charley Patton Vol. 1 (1929),183,26920,False
1737703357,Moonshine blues (2022 Remastered Version),Ma Rainey,Prove it on me (2022 Remastered Version),185,7768,False
2269623607,When A Guitar Plays The Blues (Remastered),Roy Buchanan,When A Guitar Plays The Blues (Remastered),398,175994,False
2108483107,Just About To Lose Your Clown,Son Seals,Bad Axe,193,38127,False
5936260,Empty Arms Blues,Amos Milburn,Down The Road Apiece -The Best Of Amos Milburn,177,31723,False
2056850,Diggin' My Potatoes,Big Bill Broonzy,Recorded In Club Montmartre 1956 Vol. 2,154,23931,False
2092860,Big Road Blues,Tommy Johnson,Tommy Johnson 1928 - 1929,192,42341,False
595056,I'm Your Hoochie Coochie Man,Muddy Waters,I'm Ready,239,593751,False
490386922,I'm Gonna Take What He's Got,Etta James,Tell Mama,152,245069,False
926372232,And That's Saying a Lot,Christine McVie,The Legendary Christine Perfect Album,180,16297,False
1735890,Devil Got My Woman,Skip James,Skip James 1931,181,154376,False
93206844,Black Girl (Where Did You Sleep Last Night),Lead Belly,Lead Belly: The Smithsonian Folkways Collection,126,228892,False
