id,title,artist,album,duration_sec,rank,explicit,preview_url
3294521211,Brazil Is Inside Me (Como Em Casa),Gregory Abbott,Brazil Is Inside Me (Como Em Casa),201,41137,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/5/4/0/354feb061a386c9746a8bc6e5f69b05d.mp3?hdnea=exp=1773080285~acl=/api/1/1/3/5/4/0/354feb061a386c9746a8bc6e5f69b05d.mp3*~data=user_id=0,application_id=42~hmac=60f4cdad0b82dd9c43a10f507b5cdee65e2ee8f84644e7c903e3813d2bf62571"
3584094581,Dare to Fly,Blake Aaron,Dare to Fly (Brazilian Version),267,76288,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/b/4/0/8b47cd4cf22132559e7eecc2ba854cd4.mp3?hdnea=exp=1773080285~acl=/api/1/1/8/b/4/0/8b47cd4cf22132559e7eecc2ba854cd4.mp3*~data=user_id=0,application_id=42~hmac=cba47f358bee2bd725e286010ba8ac8a211e381f0a38a2d78f024c5eb7e3283a"
1783395287,Chega de Saudade,João Gilberto,João Gilberto Apresenta Chega de Saudade,123,180292,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/3/2/0/632afc0bb19402273a3084e2e1ec4e02.mp3?hdnea=exp=1773080285~acl=/api/1/1/6/3/2/0/632afc0bb19402273a3084e2e1ec4e02.mp3*~data=user_id=0,application_id=42~hmac=eefd09c5b5a4d88d7a82664989476ad6e99b9fca4391b55f2d7029b1dfab1b47"
565340102,Águas De Março,Elis Regina,Elis & Tom,211,816627,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/e/4/0/ce40658565d0db6a8ed87f63a5aaa565.mp3?hdnea=exp=1773080285~acl=/api/1/1/c/e/4/0/ce40658565d0db6a8ed87f63a5aaa565.mp3*~data=user_id=0,application_id=42~hmac=dd7917ec48174da3b1127166ec0f67ebbe6b96f7b65e90ef3b828baa2764e225"
2648039802,How Insensitive,Mary Juane Clair,How Insensitive,293,11718,False,"https://cdnt-preview.dzcdn.net/api/1/1/9/1/7/0/91723b86ad261c3b3b1a619aa584f9a7.mp3?hdnea=exp=1773080285~acl=/api/1/1/9/1/7/0/91723b86ad261c3b3b1a619aa584f9a7.mp3*~data=user_id=0,application_id=42~hmac=4fd5f06d4d9149378494cb5133ecc1b270b497f4b0f6519a665a8343bec2153f"
75120899,Zou Bisou Bisou,Martini Kings,Zou Bisou Bisou,131,80506,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/3/5/0/1357b880a00b3e7e464d4bee25c7fcd3.mp3?hdnea=exp=1773080285~acl=/api/1/1/1/3/5/0/1357b880a00b3e7e464d4bee25c7fcd3.mp3*~data=user_id=0,application_id=42~hmac=111e10cc9d10e54043dbda252cab11f46883621b1ab59f050066fed000fed52d"
2097789737,Tião Braço Forte (Instrumental),Marcos Valle,Viola Enluarada,174,16035,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/6/a/0/76aa468c409f45a70c304f38c7fde801.mp3?hdnea=exp=1773080285~acl=/api/1/1/7/6/a/0/76aa468c409f45a70c304f38c7fde801.mp3*~data=user_id=0,application_id=42~hmac=8d86b6040f28980e7e06d8f2e80adf1a16e347f0a480060885efca408b8fcbd7"
11085337,Fogo do Sol,Marcos Valle,Marcos Valle,225,405730,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/1/b/0/31b1b0c6a0526f2c6e61bda24d948131.mp3?hdnea=exp=1773080285~acl=/api/1/1/3/1/b/0/31b1b0c6a0526f2c6e61bda24d948131.mp3*~data=user_id=0,application_id=42~hmac=4f8d4305ef09ff8bbaf84d09126a565da5dbf895ce1883875abe1f8f73bd556f"
91071071,Agua de beber,Astrud Gilberto,The golden album,140,708084,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/4/9/0/24971e079b2757c9696550ff2bb048b8.mp3?hdnea=exp=1773080285~acl=/api/1/1/2/4/9/0/24971e079b2757c9696550ff2bb048b8.mp3*~data=user_id=0,application_id=42~hmac=50ba873502bdd102c7c3a82da9197a864078fcfa39cc5a947aef8b151c1497f7"
11131481,Travessia,Milton Nascimento,Travessia,242,614578,False,"https://cdnt-preview.dzcdn.net/api/1/1/9/2/9/0/9292174f07287cea0682be84973a0003.mp3?hdnea=exp=1773080285~acl=/api/1/1/9/2/9/0/9292174f07287cea0682be84973a0003.mp3*~data=user_id=0,application_id=42~hmac=3d50262e2982e6d24648a596b669b883500dacb90fe99fed32ddcd827b7e19ec"
