id,title,artist,album,duration_sec,rank,explicit,preview_url
3456033181,Have Your Way,Katy Nichole,Honest Conversations,182,268164,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/b/2/0/3b22786a4cc13abd940985fd8852dcdf.mp3?hdnea=exp=1773080241~acl=/api/1/1/3/b/2/0/3b22786a4cc13abd940985fd8852dcdf.mp3*~data=user_id=0,application_id=42~hmac=bde5f455f5579c91fe458ddcf73ab4c9fd56cc194a86ca2609ad56d6f003b614"
3476765761,Left It In The River,Jamie MacDonald,Left It In The River,178,437548,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/a/7/0/8a7b1e74aaa96137ff7a03cc1c0d0d9e.mp3?hdnea=exp=1773080241~acl=/api/1/1/8/a/7/0/8a7b1e74aaa96137ff7a03cc1c0d0d9e.mp3*~data=user_id=0,application_id=42~hmac=6187737dd52254a40cd372178ebad0af0e4cb8441042877366f7d0d239632c17"
3463762651,Let It Be A Hallelujah,Lauren Daigle,Let It Be A Hallelujah,238,307268,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/e/9/0/5e9ae75abb6b13c455d49988cb32d1a7.mp3?hdnea=exp=1773080241~acl=/api/1/1/5/e/9/0/5e9ae75abb6b13c455d49988cb32d1a7.mp3*~data=user_id=0,application_id=42~hmac=5ea6ffdcb8fc393059a8693dcdc9c29ec9076fcedb73c5569c4c82e8494c8ea8"
3412441621,God Story,Anne Wilson,God Story,187,274320,False,"https://cdnt-preview.dzcdn.net/api/1/1/b/8/e/0/b8eac4d9a0fa2f9e0e522693d5c13b5f.mp3?hdnea=exp=1773080241~acl=/api/1/1/b/8/e/0/b8eac4d9a0fa2f9e0e522693d5c13b5f.mp3*~data=user_id=0,application_id=42~hmac=9f5d379aa5113d462af4608133fae28db0927ab8f8c9aac727430f8345941ec8"
3273706911,Where Would I Be,Peter Burton,Where Would I Be,192,268722,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/b/c/0/0bc621aaf4b292a80dfd2c88086c6f51.mp3?hdnea=exp=1773080241~acl=/api/1/1/0/b/c/0/0bc621aaf4b292a80dfd2c88086c6f51.mp3*~data=user_id=0,application_id=42~hmac=d34fe38334949ebd0c7045a4eaf70c0a01f144be5a241754c4d49bc6be05c316"
3298447901,Heaven On My Mind,TobyMac,Heaven On My Mind,181,378771,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/e/2/0/3e208d17e5149b1344b1b9a401ee9d60.mp3?hdnea=exp=1773080241~acl=/api/1/1/3/e/2/0/3e208d17e5149b1344b1b9a401ee9d60.mp3*~data=user_id=0,application_id=42~hmac=0b4e95e78ae858885264db5afcf8c33dd362fa7a7f38424cd130cc75184cc470"
2792724212,No Survivors,Jeremy Camp,Deeper Waters,140,345400,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/b/9/0/fb9406e3d8259f8df6b304609a973563.mp3?hdnea=exp=1773080241~acl=/api/1/1/f/b/9/0/fb9406e3d8259f8df6b304609a973563.mp3*~data=user_id=0,application_id=42~hmac=2a0fad86c0584600ef5d84a6dd91c7c6107fdca63331ab91a37dace66693fe15"
3562782771,How Good It Is,Chris Tomlin,The King Is Still The King,231,173679,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/1/8/0/318859ce6b2b30df76d7439e458430d3.mp3?hdnea=exp=1773080241~acl=/api/1/1/3/1/8/0/318859ce6b2b30df76d7439e458430d3.mp3*~data=user_id=0,application_id=42~hmac=2050eb1f0030ed19b7b17e55765a1cd98650a4399eaa78d1855b23f074b547ed"
3360565901,Won't Start Now,Seph Schlueter,Won't Start Now,193,380899,False,"https://cdnt-preview.dzcdn.net/api/1/1/4/3/3/0/4330e0b02d11d7de8ae69a249a49e87c.mp3?hdnea=exp=1773080241~acl=/api/1/1/4/3/3/0/4330e0b02d11d7de8ae69a249a49e87c.mp3*~data=user_id=0,application_id=42~hmac=9d4c2c7e2498f71ed9d337d3a76c251441e0332ef237a263940600c683eaff52"
3329180051,The Way,Jon Reddick,No Fear,213,203488,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/3/a/0/f3a57e5b115e8d5ac46ed613857b06ad.mp3?hdnea=exp=1773080241~acl=/api/1/1/f/3/a/0/f3a57e5b115e8d5ac46ed613857b06ad.mp3*~data=user_id=0,application_id=42~hmac=baffd792d53b4638702bf37ff8d7c36bc373c2da42064e95add79dde6a48660f"
