id,title,artist,album,duration_sec,rank,explicit,preview_url
774793132,Walking In The Snow,Jim James,The Order Of Nature,227,89069,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/7/7/0/d77fdaeacff997b6c140ce6857013505.mp3?hdnea=exp=1773080265~acl=/api/1/1/d/7/7/0/d77fdaeacff997b6c140ce6857013505.mp3*~data=user_id=0,application_id=42~hmac=fc177815f8d68043eca0ba3ec5f2bd8012c876b8a25f14c4b33319ca0a658a21"
373951441,Rolling,Roedelius,Einfluss,224,162695,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/e/5/0/5e52d39e913c1f81efda20a7f55ac21c.mp3?hdnea=exp=1773080265~acl=/api/1/1/5/e/5/0/5e52d39e913c1f81efda20a7f55ac21c.mp3*~data=user_id=0,application_id=42~hmac=30b0aa5f786cb77b81026ec8b971b82e74298365644d317c402c0d545d30e377"
71870357,"String Quartet No. 18 in A Major, K. 464: II. Menuetto",Guarneri Quartet,Mozart: Six Quartets Dedicated to Haydn,383,18221,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/c/c/0/dcc74216f650c79dca8e1edea419d16d.mp3?hdnea=exp=1773080265~acl=/api/1/1/d/c/c/0/dcc74216f650c79dca8e1edea419d16d.mp3*~data=user_id=0,application_id=42~hmac=564381c0e3644947b9c2445ae19c874878dab1d1c1e9a6fa199c8e8fe74ded4b"
66690497,"Symphony in E flat, H.I No. 99 : Haydn: Symphony in E flat, H.I No. 99: 2. Adagio",Philharmonia Hungarica,Haydn: The Complete Symphonies,430,46489,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/1/6/0/216d41568ddbe16a5fae2ef4fcb48915.mp3?hdnea=exp=1773080265~acl=/api/1/1/2/1/6/0/216d41568ddbe16a5fae2ef4fcb48915.mp3*~data=user_id=0,application_id=42~hmac=7ed014ea9fa29b05c9fe7df6f1416d4376c2da13de6a738b704e0ebe7c035405"
401227782,Sonata in E-Flat Major K.282. : I. Adagio,Andreas Staier,Mozart: Piano Sonatas,374,30236,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/7/1/0/f71a789e8608db48e50f6d05ee3fd68d.mp3?hdnea=exp=1773080265~acl=/api/1/1/f/7/1/0/f71a789e8608db48e50f6d05ee3fd68d.mp3*~data=user_id=0,application_id=42~hmac=8781070c1855985c9f4aeed4cf877592e3cb59a3a2b93bbefb6d5d8ee5a58b88"
71690578,"Partita No. 1 in B-Flat Major, BWV 825: IV. Sarabande",Glenn Gould,Glenn Gould plays Bach,190,85768,False,"https://cdnt-preview.dzcdn.net/api/1/1/c/5/d/0/c5d7ebb0a4eac6e51271fb9114f046fd.mp3?hdnea=exp=1773080265~acl=/api/1/1/c/5/d/0/c5d7ebb0a4eac6e51271fb9114f046fd.mp3*~data=user_id=0,application_id=42~hmac=b06b25124e6c58a00c433e42aec96a9eca9acf8374ac37b5f9e49c7a4f5f1931"
3140464,Hummel: Trumpet Concerto in E-Flat Major: I. Allegro con spirito,"Alison Balsom, Thomas Klug, Die Deutsche Kammerphilharmonie Bremen",Haydn & Hummel: Trumpet Concertos,566,140925,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/1/e/0/81e0771106a9e187422223d765316c9c.mp3?hdnea=exp=1773080265~acl=/api/1/1/8/1/e/0/81e0771106a9e187422223d765316c9c.mp3*~data=user_id=0,application_id=42~hmac=78ef38d102b2924ad16acaea54d1eead4b7316ead897470a5c82f6f7e213d351"
65249202,"Matthäus-Passion, BWV 244, Pt. 2 : J.S. Bach: Matthäus-Passion, BWV 244, Pt. 2: No. 39, Aria. Erbarme dich (Alto)",Michael Chance,John Eliot Gardiner: The Best Of Bach,403,211152,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/d/2/0/0d2c7e3f1564d1189c7dbee9fcca324e.mp3?hdnea=exp=1773080265~acl=/api/1/1/0/d/2/0/0d2c7e3f1564d1189c7dbee9fcca324e.mp3*~data=user_id=0,application_id=42~hmac=3b0f964f80dadf600b3793f682515d8728cc1366087bcb7f84fbcb376e043052"
92546534,"Bassoon Concerto in G Major, RV 493: I. Allegro ma poco",Sergio Azzolini,Vivaldi: Concerti per fagotto,236,105199,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/5/9/0/5595aadadd911863fcc249a52ff1b5db.mp3?hdnea=exp=1773080265~acl=/api/1/1/5/5/9/0/5595aadadd911863fcc249a52ff1b5db.mp3*~data=user_id=0,application_id=42~hmac=125790f2dc6e16f68408487b1ce39e51e9ecf6342835bd5971c433225441d864"
104759000,Sheep May Safely Graze,Leon Fleisher,Two Hands,296,171573,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/e/6/0/de68e5806b6592384fd567c118027e43.mp3?hdnea=exp=1773080265~acl=/api/1/1/d/e/6/0/de68e5806b6592384fd567c118027e43.mp3*~data=user_id=0,application_id=42~hmac=5be2578a86df2e6c96be8588fca96b3c56c2b40f64dd5cc3b368f4496ec345af"
910157172,"Rameau, Ólafsson: The Arts and the Hours",Víkingur Ólafsson,Debussy – Rameau,286,243780,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/1/e/0/01e21dc80a31685c9748dd37a4e211af.mp3?hdnea=exp=1773080265~acl=/api/1/1/0/1/e/0/01e21dc80a31685c9748dd37a4e211af.mp3*~data=user_id=0,application_id=42~hmac=44a897324905513ca696adc5c3162c5ebcd60e593d569556bb4f4840cab58ccb"
93020672,"Symphony in B Minor, Wq. 182, No. 5: I. Allegretto",Orchestra of the Age of Enlightenment,CPE Bach: Symphonies,262,39214,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/1/2/0/7121087ecde3efd54ca4aa337f2eef36.mp3?hdnea=exp=1773080265~acl=/api/1/1/7/1/2/0/7121087ecde3efd54ca4aa337f2eef36.mp3*~data=user_id=0,application_id=42~hmac=042e34d8645a2e751ee8a04ade3377271790b3af52e783b3287ba1043a8d028d"
1069718,"Passacaglia & Fugue in C Minor, BWV 582: Fugue",E. Power Biggs,Bach: Great Organ Favorites,321,21611,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/b/a/0/6ba3c3d6f3159f1c9794a17f6dfb3ac4.mp3?hdnea=exp=1773080265~acl=/api/1/1/6/b/a/0/6ba3c3d6f3159f1c9794a17f6dfb3ac4.mp3*~data=user_id=0,application_id=42~hmac=2fbf94a72741db05657217d87d07790b234861bcfc6f14797eab31938d4f84e1"
66151802,"Piano Sonata No. 31 in A-Flat Major, Op. 110 : Beethoven: Piano Sonata No. 31 in A-Flat Major, Op. 110: I. Moderato cantabile molto espressivo",Alfred Brendel,Beethoven: The Complete Piano Sonatas,417,38365,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/f/1/0/1f1e8d818a50697c63a8e7f187f03fe3.mp3?hdnea=exp=1773080265~acl=/api/1/1/1/f/1/0/1f1e8d818a50697c63a8e7f187f03fe3.mp3*~data=user_id=0,application_id=42~hmac=59e38e227ce3abd9c1068ce0d1f3930927cdac59eae85cbcc12beeac913e72b5"
1401822462,"Divertimento in D Major, K. 334: VI. Rondo. Allegro",Officina Musicale,Mozart: Divertimenti K. 247 & 334,553,14046,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/5/a/0/e5a97b2559725333e13567b597c16908.mp3?hdnea=exp=1773080265~acl=/api/1/1/e/5/a/0/e5a97b2559725333e13567b597c16908.mp3*~data=user_id=0,application_id=42~hmac=3a398ee5d9e0afca281e5d688436630dd6878cac6ef06dd127074619c1594941"
