id,title,artist,album,duration_sec,rank,explicit
2282888837,Psychopath,Morgan Wade,Psychopath,208,138700,False
2758844701,Stargazing,Myles Smith,Stargazing,172,950603,False
82697686,"Take Me Home, Country Roads (Original Version)",John Denver,"Poems, Prayers and Promises",188,848757,False
2582917822,Right Back to It,Waxahatchee,Tigers Blood,273,357552,False
78956229,My Silver Lining,First Aid Kit,Stay Gold,215,730778,False
376781231,Simple Song,Passenger,The Boy Who Cried Wolf,228,396076,False
2858482832,San Luis,Gregory Alan Isakov,Evening Machines,272,577638,False
2271563,Fast Car,Tracy Chapman,Tracy Chapman,296,877163,False
753464,My Man on Love (Remastered),Judee Sill,Judee Sill,209,161706,False
82697690,Sunshine On My Shoulders,John Denver,"Poems, Prayers and Promises",311,354386,False
3090074001,Have Heaven,Florist,Have Heaven,188,464497,False
83151446,Flake,Jack Johnson,Brushfire Fairytales (Remastered Bonus Version),282,593637,False
1755452827,Have A Little Faith In Me,SYML,Have A Little Faith In Me,197,619549,False
574330342,Best Years of My Life,Pistol Annies,Interstate Gospel,223,128594,False
9592947,Big Black Car,Gregory Alan Isakov,This Empty Northern Hemisphere,217,543459,False
68584691,"Don't Think Twice, It's All Right",Bob Dylan,The Freewheelin' Bob Dylan,219,510902,False
73915410,Beach Baby,Bon Iver,Blood Bank,160,571088,False
675469,There's a Rugged Road (Remastered),Judee Sill,Heart Food,224,249809,False
612006,Kathy's Song,Paul Simon,The Paul Simon Songbook,209,288579,False
126236457,We Were Cool,Lori McKenna,The Bird & the Rifle,202,38428,False
485643522,Orphan Girl,Gillian Welch,Revival,236,189958,False
3507619,"It's All Over Now, Baby Blue",Joan Baez,Baez Sings Dylan,206,391725,False
142025497,At the Purchaser's Option,Rhiannon Giddens,Freedom Highway,256,579646,False
105269152,Stoned,Widowspeak,All Yours,191,137403,False
462272582,Lonesome Old River Blues,Dom Flemons,Black Cowboys,162,75200,False
142722778,Both Hands,Ani DiFranco,Ani DiFranco,219,486902,False
68584650,A Hard Rain's A-Gonna Fall,Bob Dylan,The Freewheelin' Bob Dylan,412,486440,False
3217510481,Smoked,Hayden Pedigo,I'll Be Waving As You Drive Away,318,390227,False
4111580,Sunflower River Blues (Album Version),John Fahey,"Death Chants, Breakdowns And Military Waltzes",155,163176,False
2676301722,Good To Be (Acoustic),Mark Ambor,Good To Be (Acoustic),142,353016,False
753416,Crayon Angels,Judee Sill,Judee Sill,165,301436,False
2960642531,La Playa (Instrumental),Blundetto,LA PLAYA,190,348606,False
13174769,The Boxer,Simon & Garfunkel,Bridge Over Troubled Water,307,654089,False
75109571,Mesquite Shade,Marisa Anderson,Mercury,96,62369,False
3617879732,Why Do Men Sing,Bill Callahan,My Days of 58,418,653907,False
13161688,I Take My Chances,Mary Chapin Carpenter,The Essential Mary Chapin Carpenter,225,155779,False
111778162,Snapback,Old Dominion,Meat and Candy,206,294735,False
485920772,Everything Is Free,Gillian Welch,Time (The Revelator),287,314533,False
2898945781,Empty Trainload Of Sky,Gillian Welch,Woodland,204,274717,False
2435239275,Northern Sky,Nick Drake,Bryter Layter,223,478149,False
3609408932,One Day Will Be All I Have,Black Sea Dahu,Everything,329,481196,False
498806442,Are You Ready to Love Me?,The War And Treaty,Healing Tide,214,217639,False
113944482,Poncho & Lefty,Townes Van Zandt,The Late Great Townes Van Zandt,220,327734,False
13174771,The Only Living Boy in New York,Simon & Garfunkel,Bridge Over Troubled Water,238,478792,False
446979712,The Bug Collector,Haley Heynderickx,I Need to Start a Garden,228,690123,True
561682112,Champagne Corolla,Justin Townes Earle,Kids in the Street,218,161853,False
3464351821,Hill Folk,Nick Shoulders,Refugia Blues,223,124582,False
13359093,Anna On A Memory,John Stewart,Cannons In The Rain,188,6942,False
113092312,Coming into Los Angeles (Remastered),Arlo Guthrie,Running Down the Road (Remastered),186,338327,False
403598262,Tijuana Moon (Remastered),Tim Buckley,Look at the Fool (Remastered),163,21885,False
3212696151,Foxes in the Snow,Jason Isbell,Foxes in the Snow,200,99794,False
3526466981,Black Lung,Jonah Kagen,Sunflowers and Leather,211,389238,True
1457033832,Passengers,Aoife O'Donovan,Age of Apathy,212,154992,False
3255203201,Days Getting Darker,Ken Pomeroy,Days Getting Darker,250,163794,False
753482,Enchanted Sky Machines (Remastered),Judee Sill,Judee Sill,170,145355,False
2271562,Talkin' Bout a Revolution,Tracy Chapman,Tracy Chapman,161,859695,False
131743590,California Bloodlines,John Stewart,California Bloodlines,188,54218,False
73915409,Blood Bank,Bon Iver,Blood Bank,285,496950,False
1708940957,Don't Mind (feat. Robert Plant),Patty Griffin,Tape,227,32365,False
3208815521,Beyond Meaning,Watchhouse,Rituals,237,179564,False
3212409411,Going to Raleigh,Rhiannon Giddens,What Did the Blackbird Say to the Crow,148,164653,False
140852989,You Broke Up with Me,Walker Hayes,You Broke Up with Me,197,258965,False
486783462,People Get Old,Lori McKenna,The Tree,222,122739,False
3232759821,Close My Eyes,Jake Xerxes Fussell,Close My Eyes,206,45796,False
4332676,Freight Train,Elizabeth Cotten,Freight Train and Other North Carolina Folk Songs and Tunes,166,310548,False
1058763742,This Joy,Resistance Revival Chorus,This Joy,205,151243,False
3363531151,I Saw The Mountains,Noah Cyrus,I Saw The Mountains,264,356549,False
3282632701,Don't Put It All On Me,Noah Cyrus,Don't Put It All On Me,247,431097,False
1794984407,Angel,First Aid Kit,Angel,219,182429,False
3068545281,Cry Baby (feat. Valerie June),Sunny War,Armageddon in a Summer Dress,194,65579,False
140895573,The Meetings of the Waters,Fionn Regan,The Meetings of the Waters,300,198228,False
1490022172,The Wave,Bedouine,Waysides,225,112825,False
477792592,Sprout And The Bean,Joanna Newsom,The Milk-Eyed Mender,273,265957,False
2271566,Baby Can I Hold You,Tracy Chapman,Tracy Chapman,193,835257,False
4408122,We Shall Overcome,Pete Seeger,If I Had a Hammer: Songs of Hope and Struggle,282,144015,False
1178026492,4th of july,Hand Habits,dirt,176,96506,False
