id,title,artist,album,duration_sec,rank,explicit
1866194,Mera Laung Gawacha,Musarrat Nazir,Laung Gawacha-87,191,21285,False
1954617987,Maan Meri Jaan,King,Champagne Talk,194,209133,False
502552642,Chammak Challo,Devender Foji,Chammak Challo,289,34937,False
1530479842,Bijlee Bijlee,Harrdy Sandhu,Bijlee Bijlee,168,255785,False
95084268,"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,"Enakenna Yaarum Illaye (From ""Aakko"")",261,244856,False
3165712401,Moon Rise,Guru Randhawa,Man Of The Moon,174,163041,False
525976432,Skandha Sashti Kavacham,Soolamangalam Sisters,Sri Skandha Guru Kavasam,1223,162427,False
2945879601,Planeando el Tiempo,Elsa y Elmar,Rey,155,353232,False
63010044,Ethir Neechal,Anirudh Ravichander,Ethir Neechal (Original Motion Picture Soundtrack),270,265894,False
12020956,Raga Jhinjhoti,Hariprasad Chaurasia,Krishna's Charm,2634,450623,False
3515585121,Mahaganapathim,Sooryagayathri,Sooryagayathri Ganesha Songs,250,122831,False
1525791772,Jugnu,Badshah,Jugnu,230,185043,False
65292713,Maria Pita Che,Remo Fernandes,O Meri Munni,242,104283,False
535640442,Tere Dil Mein Rehna Hai (Let Me Inside Your Heart),Asha Puthli,Hari Om,338,27118,False
3453369111,Bolo Bolo,W.I.S.H.,Bolo Bolo,237,293779,False
3180376291,Love Dose,Yo Yo Honey Singh,Desi Kalakaar,224,120508,False
2996204621,Sleep Will Come,Buddha's Lounge,Sacred Garden,580,214156,False
118450724,Asool,Tarsem Jassar,Asool,230,26226,False
3472686651,Sabhi Khaas,Sumit Parta,Sabhi Khaas,146,76269,False
3461813471,Kanta Laga,Tony Kakkar,Kanta Laga,207,216556,False
3461813501,Gal Karke,Asees Kaur,Gal Karke,157,147730,False
913002982,Genda Phool (feat. Payal Dev),Badshah,Genda Phool (feat. Payal Dev),170,145912,False
525603992,Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,Sri Venkatesa Suprabhatham,1242,161881,False
2918064591,Alap - Raga Bhimpalasi,Utsav Lal,Raga Bhimpalasi,789,72275,False
1249726222,Sin,Sidhu Moose Wala,Sin,187,74186,False
2804073642,Dearest Friend (DJ Drez Remix),Nusrat Fateh Ali Khan,Dearest Friend (DJ Drez Remix),357,32116,False
2959244041,Ishq,Ali Sethi,Ishq,242,117531,False
2671047872,Yimmy Yimmy,Tayc,Yimmy Yimmy,211,328220,False
3751846592,Senorita (J Balvin Version),Diljit Dosanjh,Senorita (J Balvin Version),178,182919,False
101093902,Don'u Don'u Don'u,Anirudh Ravichander,Maari (Original Motion Picture Soundtrack),198,294974,False
78690310,Zaroori Tha,Rahat Fateh Ali Khan,Back 2 Love,342,165215,False
78178048,Aathangara Orathil,Harris Jayaraj,Yaan (Original Motion Picture Soundtrack),264,257997,False
68330361,Unnaal Unnaal,A.R. Rahman,Ambikapathy (Original Motion Picture Soundtrack),307,94878,False
1555721912,Wonders Of Life,India Instrumentals,Indian Healing Music,210,30393,False
502445282,Kanakadharashtavam,M. S. Subbulakshmi,Bhaja Govindam - Vishnu Sahasranamam,524,62614,False
1852447867,"Sunrise, Sunset (Live at the Jerusalem YMCA, December 29, 2018)",Cantor Azi Schwartz,"Havdalah: Live from Jerusalem, a Collection of Traditions from the Jewish Diaspora (Live at the Jerusalem YMCA, December 29, 2018)",197,31056,False
7599924,Thee Illai,Harris Jayaraj,Engeyum Kadhal (Original Motion Picture Soundtrack),327,161646,False
2985998291,"Manasilaayo (From ""Vettaiyan"")",Anirudh Ravichander,Manasilaayo,235,231168,False
16021659,Divine Imagination,Kiran Murti,Light of India,285,194495,False
2826231552,Ittefaq,OAFF,Ittefaq,160,30310,False
3193224431,Kachchiyan Kandhaan(Don't Take Risk),K.S. Makhan,Mastani,299,19919,False
124185366,O Sanam,Lucky Ali,Sunoh,223,171862,False
101093898,Maari Thara Local,Anirudh Ravichander,Maari (Original Motion Picture Soundtrack),232,235431,False
2762347271,Paon Ki Jutti,Jyoti Nooran,Paon Ki Jutti,209,102297,False
536198002,Onnavitta Yaarum Yenakilla (Version 1),D. Imman,Seemaraja (Original Motion Picture Soundtrack),278,280636,False
3572203841,Aathi,Anirudh Ravichander,Kaththi,305,215249,False
1118062732,Doorie,Atif Aslam,Doorie,290,96459,False
1938165,Main Hosh Mein Tha,Mehdi Hassan,Mehdi Hassan Ghazals,421,41655,False
563181152,Oru Viral Puratchi,A.R. Rahman,Sarkar (Tamil),330,80206,False
1555721902,Marwa,India Instrumentals,Indian Healing Music,242,67675,False
2964333381,Millionaire,Yo Yo Honey Singh,GLORY,199,225420,True
1138537692,Veyyon Silli,G.V. Prakash Kumar,Soorarai Pottru,304,2754,False
1922719817,Tujhe Suraj,Rakesh Yankaran,Tujhe Suraj,258,150520,False
1923594377,Yeh Paude,Raymond Ramnarine,Yeh Paude,188,48829,False
1512690052,Nenjame,Anirudh Ravichander,Doctor (Original Motion Picture Soundtrack),256,79922,False
2945879531,Exploradora,Elsa y Elmar,Rey,250,103001,False
69470892,Chennai City Gangsta,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),257,87182,False
1882294277,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")",Dhanush ,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")",142,165137,False
2964333421,Bonita,Yo Yo Honey Singh,GLORY,178,43762,False
3199488901,Rehle Mere Kol,Aditya Rikhari,Rehle Mere Kol,154,189583,False
129473360,Oh Maya,Harris Jayaraj,Iru Mugan (Original Motion Picture Soundtrack),303,99234,False
2483485441,Hass Hass,Diljit Dosanjh,Hass Hass,153,289491,False
1236624822,JD Intro (Background Score),Anirudh Ravichander,Master (Original Background Score),80,224225,False
