id,title,artist,album,duration_sec,rank,explicit
2598572482,Saturate,The Frost Duo,Saturate,229,31245,False
1734232777,I Think I'll Call It Morning,Gil Scott-Heron,Pieces of a Man,211,303616,False
596966,From Day One,Fourplay,Journey,354,120470,False
5619863,"No Rhyme, No Reason",George Duke,Snapshot,348,286151,False
2238153377,From The Start,Laufey,From The Start,169,881648,False
75946092,Moodswing,Nathan East,Nathan East,308,70668,False
1348605182,Prototype,Jeff Lorber Fusion,Prototype,322,47086,False
1439211702,Could This Be Real,Vincent Ingala,Fire & Desire,243,80198,False
2722630022,Childhood Memories,Jacob Webb,Childhood Memories,237,61413,False
3243868831,Lazy Afternoon (Kenny's Groove),Walter Beasley,Lazy Afternoon (Kenny's Groove),238,86017,False
3339136901,Pop's Bebop!,Randy Sloan,Pop's Bebop!,237,96574,False
1012923522,Fluid,Lin Rountree,Fluid,265,107364,False
3208388441,Soul Serenade,Patches Stewart,Soul Serenade,262,3189,False
2507847,Reunion,David Benoit,The Benoit / Freeman Project,306,98533,False
3345649351,Pacifica,Tom Zygmont,LUMINA WAY,279,30079,False
2511532121,No Matter What,Threestyle,No Matter What,255,347,False
1731896057,OUR KIND OF LOVE (feat. Kim Scott & Jeanette Harris),Dan Alan Levine,OUR KIND OF LOVE (feat. Kim Scott & Jeanette Harris),265,43255,False
1076706,Silhouette,Kenny G,Silhouette,326,142070,False
549279042,Everybody Loves The Sunshine,Roy Ayers,Everybody Loves The Sunshine (Reissue),238,564687,False
3167493951,N'Joy Yourself (Spanish Bay Mix) (feat. David Blamires & Steve Oliver),Sandy Shore,N'Joy Yourself,70,25083,False
3449086991,Inside Your Heart,The Braxton Brothers,Inside Your Heart,250,11574,False
1586998262,Percolator,Spyro Gyra,Catching the Sun,149,62853,False
3471618491,Pretty Solid,Kombo,Pretty Solid,275,22075,False
1762373437,Brave New World,Russ Freeman & The Rippingtons,Brave New World,254,37677,False
3251103601,Gratified,Julian Vaughn,Gratified,275,94958,False
1444379932,As You Are,Boney James,Ride,270,81373,False
5617762,Straight to the Heart,David Sanborn,As We Speak,207,120689,False
1684412817,Turn It Up,Mo Louis,Turn It Up,265,66819,False
3410408191,Equal 3,Mekiel Reuben,Something Like That,251,26239,False
1453191022,Miles And Miles To Go,Larry Carlton,Soul Searchin',266,206118,False
1491074682,Sacrifices,Hiroshima,2020,305,60641,False
3442714651,LA Hustle,Mark Carter,Coast To Coast,235,1317,False
1194550292,Get Ready,Jazmin Ghent,Forever...Jaz,249,25092,False
3018736291,Momentum,D.S. Wilson,Momentum,284,17732,False
2603972312,Tongue Tied,Jamie WilliamS.,Tongue Tied,343,47388,False
5510823,Goodbye,David Sanborn,Close-Up,333,133414,False
