id,title,artist,album,duration_sec,rank,explicit,preview_url
3171003131,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,237,981279,True,"https://cdnt-preview.dzcdn.net/api/1/1/6/0/5/0/605d346aea540cd83f25a4459f12d9f0.mp3?hdnea=exp=1773080294~acl=/api/1/1/6/0/5/0/605d346aea540cd83f25a4459f12d9f0.mp3*~data=user_id=0,application_id=42~hmac=60e87c2bee266007877ef5e031de0629ee0e85bfde276d44f85784fd3d654036"
3171003121,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,204,979885,True,"https://cdnt-preview.dzcdn.net/api/1/1/5/3/4/0/534f74248f8b341408469f33b3d52830.mp3?hdnea=exp=1773080294~acl=/api/1/1/5/3/4/0/534f74248f8b341408469f33b3d52830.mp3*~data=user_id=0,application_id=42~hmac=0b2937778ddc6fa30cb8c1998af8056697e1e1299c8ce8c535c3e87f912cccf8"
3171002981,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,183,977729,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/6/5/0/f65ad0dfd44f0e0d1b47aa1355fcf7bc.mp3?hdnea=exp=1773080294~acl=/api/1/1/f/6/5/0/f65ad0dfd44f0e0d1b47aa1355fcf7bc.mp3*~data=user_id=0,application_id=42~hmac=4cb02ae18432a7acf7752db32b74401548ce8e7665647c0de2b9f3b4b91243a6"
13704591,Livin' la Vida Loca,Ricky Martin,Ricky Martin,243,742115,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/b/0/0/db0b7add4623771c3a2a3a1ccaaee490.mp3?hdnea=exp=1773080294~acl=/api/1/1/d/b/0/0/db0b7add4623771c3a2a3a1ccaaee490.mp3*~data=user_id=0,application_id=42~hmac=5113de842c9856320b61900949f129c7ce3a2c8d094cb2589140dcb502c3f29b"
15211178,"Whenever, Wherever",Shakira,Laundry Service,196,861236,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/9/a/0/89aafd76a99c7f4ae707c999968ae8d5.mp3?hdnea=exp=1773080294~acl=/api/1/1/8/9/a/0/89aafd76a99c7f4ae707c999968ae8d5.mp3*~data=user_id=0,application_id=42~hmac=81a0ae4904cc3773aa81beef3915a5a7ba31a4b1092d78c291eb67124d399323"
3165861441,Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),192,941099,False,"https://cdnt-preview.dzcdn.net/api/1/1/e/5/5/0/e55128c0f638a66732eca1fbd37038fc.mp3?hdnea=exp=1773080294~acl=/api/1/1/e/5/5/0/e55128c0f638a66732eca1fbd37038fc.mp3*~data=user_id=0,application_id=42~hmac=a85624a87d35be3f0bf868774671799ee358faeeef4bc814c9e81f4799c58e2a"
623698182,Despacito (Remix),Luis Fonsi,VIDA,229,600094,False,"https://cdnt-preview.dzcdn.net/api/1/1/6/4/b/0/64bbfe3b363075a58f84869742c17ff8.mp3?hdnea=exp=1773080294~acl=/api/1/1/6/4/b/0/64bbfe3b363075a58f84869742c17ff8.mp3*~data=user_id=0,application_id=42~hmac=d4da4e83c7fa017a360c616f0ceb99eddaa1366c1329abe91d6d3a1259e01bfa"
3541495321,Sway in the Sun,John Giannone,Sway in the Sun,268,31412,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/b/c/0/0bcaaaa37256598f6342447000f1311f.mp3?hdnea=exp=1773080294~acl=/api/1/1/0/b/c/0/0bcaaaa37256598f6342447000f1311f.mp3*~data=user_id=0,application_id=42~hmac=a194ed5846df1d6d61665e4006f587516a540000537934369a6eb4805f1a3806"
3171003001,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,367,971935,True,"https://cdnt-preview.dzcdn.net/api/1/1/2/3/5/0/23585201254a725a2f1f42a1b9a25686.mp3?hdnea=exp=1773080294~acl=/api/1/1/2/3/5/0/23585201254a725a2f1f42a1b9a25686.mp3*~data=user_id=0,application_id=42~hmac=6d8db3d4dfa9dc0feb054a74cd82570b24e284070419625cc9620bee31b05454"
3521175551,Morena (Remix),Neton Vega,Morena (Remix),161,204405,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/c/7/0/1c7777d9e5894ebe2b73abbdd9aef840.mp3?hdnea=exp=1773080294~acl=/api/1/1/1/c/7/0/1c7777d9e5894ebe2b73abbdd9aef840.mp3*~data=user_id=0,application_id=42~hmac=d8079a2e5f1321c76ea15682af6e1ecb4e7949835a96d660e3e73f88d27ee36c"
1741494317,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,243,975674,True,"https://cdnt-preview.dzcdn.net/api/1/1/c/4/d/0/c4d8eeec871548b83abe5458fff10fc3.mp3?hdnea=exp=1773080294~acl=/api/1/1/c/4/d/0/c4d8eeec871548b83abe5458fff10fc3.mp3*~data=user_id=0,application_id=42~hmac=cff0c631771b362918184964452e61f4195d17f9406a38e218b67b2c71ac3098"
