id,title,artist,album,duration_sec,rank,explicit,preview_url
92720046,Back In Black,AC/DC,Back In Black,253,966294,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/2/b/0/82be918b42c3d26093b20d01e97e4a03.mp3?hdnea=exp=1773080271~acl=/api/1/1/8/2/b/0/82be918b42c3d26093b20d01e97e4a03.mp3*~data=user_id=0,application_id=42~hmac=5c0bd0821616c338df4e1756e78a0b657330d22ef72b9683713ebc4dc6401415"
92720048,You Shook Me All Night Long,AC/DC,Back In Black,208,872302,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/1/a/0/21af9bde7aacee934f02c9df8c931bdf.mp3?hdnea=exp=1773080271~acl=/api/1/1/2/1/a/0/21af9bde7aacee934f02c9df8c931bdf.mp3*~data=user_id=0,application_id=42~hmac=2a8ffdc84a4bfd4780473aa60ad25224be9a18b94901f5ad62011fcbc1783259"
858371,The Final Countdown,Europe,The Final Countdown (Expanded Edition),310,843006,False,"https://cdnt-preview.dzcdn.net/api/1/1/0/4/0/0/040685eaaa8099482ac9079bbd08a318.mp3?hdnea=exp=1773080271~acl=/api/1/1/0/4/0/0/040685eaaa8099482ac9079bbd08a318.mp3*~data=user_id=0,application_id=42~hmac=e5c01fc09665301c94f3ecd4d70a25890c612fe9b226310a51d6143aeadf1e0a"
624314,No More Tears,Ozzy Osbourne,No More Tears (Expanded Edition),443,792925,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/7/0/0/870fad57d26c2910629d689bdfea8474.mp3?hdnea=exp=1773080271~acl=/api/1/1/8/7/0/0/870fad57d26c2910629d689bdfea8474.mp3*~data=user_id=0,application_id=42~hmac=317d8fa9835f47022d61fcc05e5c18ab513b1c3e35a0e19fc1bf5b4264264c30"
870942,You've Got Another Thing Coming,Judas Priest,Screaming For Vengeance,310,533629,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/9/3/0/d9314e01487a5cced0ed0e0fc4883d3a.mp3?hdnea=exp=1773080271~acl=/api/1/1/d/9/3/0/d9314e01487a5cced0ed0e0fc4883d3a.mp3*~data=user_id=0,application_id=42~hmac=c43d9bd38449fe19f33ea79042914655336f60b4ecec901afa7bc9f3eff3c42d"
92720006,T.N.T.,AC/DC,High Voltage,214,884676,False,"https://cdnt-preview.dzcdn.net/api/1/1/f/1/f/0/f1f273789a64974474505f57394672cc.mp3?hdnea=exp=1773080271~acl=/api/1/1/f/1/f/0/f1f273789a64974474505f57394672cc.mp3*~data=user_id=0,application_id=42~hmac=17f42d5ff3be3a97d626fb89c6f73e1fc3b83dfc34cbbdf0164bdd1c8575fc1a"
557641,Living After Midnight,Judas Priest,Metal Works '73-'93,210,609123,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/9/a/0/19a299dbe1f65d17ed4a453237df6831.mp3?hdnea=exp=1773080271~acl=/api/1/1/1/9/a/0/19a299dbe1f65d17ed4a453237df6831.mp3*~data=user_id=0,application_id=42~hmac=2b27f6f04c850e20f33141a41841e8de2f58cae9f6e7f5b977063aa6ef0589e2"
92722970,Let There Be Rock,AC/DC,Let There Be Rock,366,717737,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/5/d/0/25db0afc0d0893724b92c956120a8dad.mp3?hdnea=exp=1773080271~acl=/api/1/1/2/5/d/0/25db0afc0d0893724b92c956120a8dad.mp3*~data=user_id=0,application_id=42~hmac=26edbeda84d4928df2fbffd1cb073a5063a28a5fb877c3902063bb0b2ef3c7de"
3822022,High Enough,Damn Yankees,Damn Yankees,284,457970,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/1/4/0/d1439109dd71f2b9a02556a2f1fae8c6.mp3?hdnea=exp=1773080271~acl=/api/1/1/d/1/4/0/d1439109dd71f2b9a02556a2f1fae8c6.mp3*~data=user_id=0,application_id=42~hmac=081ca6693bd0746a31f927b256ebe65dba5ef74314eda5f112c48066a80a6d87"
5416695,Round and Round,Ratt,Out of the Cellar,265,536707,False,"https://cdnt-preview.dzcdn.net/api/1/1/d/8/5/0/d855f3cbc3cd0f08efb1b01eff465365.mp3?hdnea=exp=1773080271~acl=/api/1/1/d/8/5/0/d855f3cbc3cd0f08efb1b01eff465365.mp3*~data=user_id=0,application_id=42~hmac=dec9efa4104a2c3737c357a72b292d89a7c3c29aa588c126e74a619f667784b6"
