id,title,artist,album,duration_sec,rank,explicit
3503857201,Man I Need,Olivia Dean,Man I Need,184,991622,False
3579685911,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,226,887228,False
3210709941,Ordinary,Alex Warren,Ordinary,186,990241,False
3454558671,YUKON,Justin Bieber,SWAG,164,881380,False
3763842212,I Just Might,Bruno Mars,I Just Might,212,995346,False
3579685451,Opalite,Taylor Swift,The Life of a Showgirl,235,999116,False
2947516331,Die With A Smile,Lady Gaga,Die With A Smile,250,997757,False
2610711672,Beautiful Things,Benson Boone,Beautiful Things,180,994493,False
3881984641,American Girls,Harry Styles,"Kiss All The Time. Disco, Occasionally.",213,741675,False
2454854845,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,258,957312,False
2690050272,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,230,464992,False
2815968782,Messy,Lola Young,Messy,284,997108,True
3371081661,Bloodline,Alex Warren,Bloodline,182,808016,False
2728070371,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",218,963608,False
3294514251,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead,198,781796,False
2972837781,Bad Dreams,Teddy Swims,Bad Dreams,184,973526,False
3124823321,toxic till the end,ROSÉ,rosie,156,759185,False
3278141801,Love Me To Heaven,Jonas Brothers,Love Me To Heaven,205,668724,False
2743578151,Espresso,Sabrina Carpenter,Espresso,175,979835,True
2769846461,Miles On It,Marshmello,Miles On It,168,741942,False
3047560351,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),166,969558,True
3232179181,"Sally, When The Wine Runs Out",ROLE MODEL,Kansas Anymore (The Longest Goodbye),218,709024,True
3180092121,Slow Motion,Marshmello,Slow Motion,150,634984,False
2312663495,Lose Control,Teddy Swims,Lose Control,210,926333,False
2954912511,Taste,Sabrina Carpenter,Short n' Sweet,157,860175,False
2614318122,"yes, and?",Ariana Grande,"yes, and?",215,873059,True
