id,title,artist,album,duration_sec,rank,explicit
3106586641,luther,Kendrick Lamar,GNX,178,891035,False
3262675101,Anxiety,Doechii,Anxiety,249,964065,True
3277684691,Dark Thoughts,Lil Tecca,Dark Thoughts,136,753740,True
3106586631,squabble up,Kendrick Lamar,GNX,158,748992,True
3472732981,Hell At Night (feat. Ella Langley),BigXthaPlug,Hell At Night (feat. Ella Langley),179,549118,False
2536499851,Lovin On Me,Jack Harlow,Lovin On Me,138,331531,False
2459517745,Agora Hills,Doja Cat,Scarlet,265,751898,True
3470152941,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS,153,875966,True
3279419081,All The Way (feat. Bailey Zimmerman),BigXthaPlug,All The Way (feat. Bailey Zimmerman),165,581012,True
3862283201,miss u 2 (with Leon Thomas),Ty Dolla $ign,miss u 2 (with Leon Thomas),148,324336,True
3562510011,Pick It Up (feat. Selena Gomez),Cardi B,AM I THE DRAMA?,160,378527,True
628266,Hey Ya!,OutKast,Speakerboxxx/The Love Below,235,891263,True
2827724612,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155,785285,False
15528008,Killing Me Softly With His Song,Fugees,The Score (Expanded Edition),290,753325,True
2896894551,KEHLANI (REMIX) [feat. Kehlani],Jordan Adetunji,KEHLANI (REMIX) [feat. Kehlani],180,607004,True
3129407,Feel Good Inc.,Gorillaz,Demon Days,222,963489,False
1580929572,The Humpty Dance,Digital Underground,Hi-Five: Digital Underground,391,357131,False
2732244871,Ciao!,Bryson Tiller,Bryson Tiller,125,537412,True
3747508602,"girl, get up.",Doechii,"girl, get up.",188,687492,True
139102925,Untitled (How Does It Feel),D'Angelo,Voodoo,431,546573,False
76563092,Sweet November,SZA,Z,243,390636,True
72059803,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),235,391968,True
1109731,Lose Yourself,Eminem,Curtain Call: The Hits,326,980436,True
628265,Prototype,OutKast,Speakerboxxx/The Love Below,326,436790,False
2522953,This Is How We Do It,Montell Jordan,This Is How We Do It,277,675721,True
3125988,Back To Life,Soul II Soul,Keep On Movin',233,520523,False
15528003,Ready or Not,Fugees,The Score (Expanded Edition),227,674865,True
6617606,C'mon N' Ride It (The Train),Quad City Dj's,Get On Up And Dance,451,315368,False
3119536,Sabotage,Beastie Boys,Solid Gold Hits,178,716244,False
2803643,The Rain (Supa Dupa Fly),Missy Elliott,Supa Dupa Fly,251,476370,True
412241052,HUMBLE. (SKRILLEX REMIX),Skrillex,HUMBLE. (SKRILLEX REMIX),156,516453,True
139102921,Feel Like Makin' Love,D'Angelo,Voodoo,382,482088,False
1208717042,Goosebumps (Remix),Travis Scott,Goosebumps (Remix),162,839868,True
3166087,Smile (Acoustic),Lily Allen,Smile,200,637712,True
3906805,Summer Rain,Carl Thomas,Emotional,232,305846,False
720608682,Good Vibrations,Marky Mark And The Funky Bunch,Good Vibrations,270,505958,False
2732244841,Attention,Bryson Tiller,Bryson Tiller,216,400769,True
3734606262,What You Saying,Lil Uzi Vert,What You Saying,131,987002,False
915208092,Say So (Snakehips Remix),Doja Cat,Say So (Snakehips Remix),200,246818,True
15597825,So What,P!nk,Greatest Hits...So Far!!!,215,561324,True
3843752531,Visions,Jay Worthy,Visions,164,330823,True
595355582,SICKO MODE (Skrillex Remix),Travis Scott,SICKO MODE (Skrillex Remix),304,387858,True
3709277472,FDO,Pooh Shiesty,FDO,319,598365,True
471590842,Don't Go Breaking My Heart,Q-Tip,Don't Go Breaking My Heart,246,190298,False
3855883061,CREEPIN,Don Toliver,CREEPIN,141,604173,True
3834422171,THE SCYTHE,Denzel Curry,THE SCYTHE,178,487650,True
3720408772,2am In SF,DaBoii,2am In SF,164,145991,True
1904430927,Where I Go (feat. H.E.R.),NxWorries,Where I Go (feat. H.E.R.),201,467594,True
78034213,It Takes Two,Rob Base & DJ EZ Rock,It Takes Two,300,471508,False
3849775631,Hit and Run (feat. AZ Chike),Ray Vaughn,Hit and Run (feat. AZ Chike),199,283092,True
671579702,Old Town Road (Diplo Remix),Lil Nas X,Old Town Road (Diplo Remix),214,544658,False
3812245452,Body,Don Toliver,OCTANE,155,822655,True
3754067662,Don't Play With My Heart,REASON,Don't Play With My Heart,109,171819,True
2485118,Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,193,843116,False
781468182,My Type (Dillon Francis Dance Remix),Saweetie,My Type (The Remixes),166,132188,True
1584589772,Jump Around,House Of Pain,Hi-Five: House Of Pain,214,787079,False
1225735372,Body (Joel Corry Remix),Megan Thee Stallion,Body (Joel Corry Remix),203,231838,True
6627454,Just a Friend,Biz Markie,Biz's Baddest Beats: The Best of Biz Markie,238,426907,False
139102911,Send It On,D'Angelo,Voodoo,358,435605,False
1344734942,Best Friend (feat. Doja Cat) (Party Pupils Remix),Saweetie,Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],179,50591,True
953101162,Savage (Major Lazer Remix),Megan Thee Stallion,Savage (Major Lazer Remix),299,208885,True
3827462101,Bunce Road Blues,J. Cole,The Fall-Off,311,728563,True
1270028752,Streets (Disclosure Remix),Doja Cat,Streets (Disclosure Remix),254,357874,True
3906793,I Wish,Carl Thomas,Emotional,228,349070,False
3692454102,YAYA (Remix),Compton AV,YAYA (Remix),194,508292,False
3557194791,Sexy Soulaan,Monaleo,Sexy Soulaan,122,278866,True
553801682,Party Up,DMX,...And Then There Was X,271,706540,True
3690681362,Thootie,Ice Spice,Thootie,152,649368,True
3642911182,Watching Us,Wale,everything is a lot.,229,478882,True
1584428112,Gangsta's Paradise,Coolio,Gangsta's Paradise,241,373801,False
491446972,Better Now,Post Malone,beerbongs & bentleys,230,775321,True
3835044621,Everything Allocated,Larry June,Everything Allocated,173,306663,False
3777479702,HELICOPTER,A$AP Rocky,Don't Be Dumb,165,724463,True
3838488361,Trimski,NAV,Trimski,182,572249,True
1698829357,Winter Breeze,Speechless,Freedom of Speech,104,32354,False
3725332292,BLOODSWEAT,$uicideboy$,THY WILL BE DONE,221,592065,True
13165748,Back & Forth,Aaliyah,Age Ain't Nothing But A Number,231,394391,False
1085495,Fight For Your Right,Beastie Boys,Licensed To Ill,207,600117,False
3855225991,Good Flirts (feat. Kendrick Lamar & Momo Boyd),Baby Keem,Ca$ino,231,756735,True
3693287812,Let’s Do It,Lil Baby,The Leaks,202,577475,True
3662559252,Triple Nickel,MAVI,The Pilot,156,344004,True
958803,Walk This Way (feat. Aerosmith),Run DMC,Raising Hell,311,409214,False
84364029,Wild Thing,Tone-Loc,Loc-ed After Dark,263,462243,False
3855226011,House Money,Baby Keem,Ca$ino,195,673183,True
145429536,In Da Club,50 Cent,Best Of 50 Cent,193,544660,True
1584432772,O.P.P,Naughty By Nature,Naughty By Nature,271,512518,False
73707710,Turn Down for What,DJ Snake,Turn Down for What,213,736233,False
3487104961,Take Me Thru Dere,Metro Boomin,Metro Boomin Presents: A Futuristic Summa (Hosted by DJ Spinz),162,410038,True
3711488162,MR RECOUP,21 Savage,WHAT HAPPENED TO THE STREETS?,164,631614,True
2447443,Dilemma,Nelly,Nellyville,289,862215,True
3827462061,SAFETY,J. Cole,The Fall-Off,318,656786,True
2410782275,Lil Boo Thang,Paul Russell,Lil Boo Thang,113,707145,False
769241732,Espoir,Philanthrope,Espoir,96,30451,False
3827462051,Two Six,J. Cole,The Fall-Off,196,756649,True
970659,U Don't Have to Call,USHER,8701,269,547487,True
3521143581,Putting Ya Dine,Monaleo,Putting Ya Dine,179,558155,True
3098084,Shoulda Woulda Coulda,Beverley Knight,Who I Am,211,327960,False
4736315,Spend My Life With You,Eric Benet,A Day in the Life,276,420189,False
3664433922,Real Shit,Lil Baby,Real Shit,159,257278,True
128743581,Still D.R.E.,Dr. Dre,2001,271,943997,True
2238159,Country Grammar (Hot...),Nelly,Country Grammar,286,163761,False
1760490977,Stam Slap,BluntOne,Reel Street Jazz,88,15438,False
