id,title,artist,album,duration_sec,rank,explicit
3125893,Close To You,Maxi Priest,Bonafide,329,496450,False
2542705,Redemption Song,Bob Marley & The Wailers,Uprising,227,868990,False
1021870252,Shine,Cleo Sol,Shine,226,323239,False
3594889672,Worthwhile,NESTA,Worthwhile,173,446027,False
130005982,Hey Baby (Acoustic Version),Stephen Marley,Mind Control Acoustic,288,239176,False
3444262361,Could You Be Loved (with LP Giobbi),Bob Marley & The Wailers,Could You Be Loved (with LP Giobbi),286,571835,False
131237538,What Does It Take (To Win Your Love),Alton Ellis,Be True to Yourself: The Godfather of Lover's Rock (Anthology 1965-1973),199,304379,False
6698954,Water Pumping,Johnny Osbourne,Water Pumping,197,164049,False
1583158,"Roots, Rock, Reggae",Bob Marley & The Wailers,Rastaman Vibration,215,612799,False
429957382,Rocksteady,Alton Ellis,Alton Ellis Selects Reggae,158,98347,False
866230932,Could You Be Loved,Bob Marley & The Wailers,Legend (Deluxe Edition),236,342116,False
478183932,Israelites,Desmond Dekker,Black And Dekker,153,286109,False
123022602,Time Tough,Toots & The Maytals,Funky Kingston,263,400142,False
99183634,I Can't Hide,Ken Parker,A Glint of Gold,145,115874,False
381546721,Skankin' Sweet,Chronixx,Chronology,252,523881,False
3406249,Hail H.I.M (2002 Remastered Version),Burning Spear,Hail H.I.M,255,559671,False
530267681,Yimasgan (Original Jamaican Mix),The Abyssinians,Satta Massagana (Original Jamaican Mixes) [Deluxe Edition],227,205384,False
6699291,Lost Mi Love,Yellowman,Mister Yellowman,310,380485,False
79156139,I'm Still In Love With You,Marcia Aitken,Reggae Impact,222,409483,False
12269977,Ketchy Shuby,Peter Tosh,Legalize It (Legacy Edition),296,272938,False
32582431,There's A Reward,Joe Higgs,Life of Contradiction,251,329690,False
107687158,Heavy Duty Dub,Harry Mudie,Harry Mudie Meet King Tubby In Dub Confrence Volume One,179,61062,False
62710568,Collie Weed,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),200,246481,False
6699080,Oh What A Feeling,Wailing Souls,Fire House Rock,301,181447,False
132302024,The Vibes Is Right,Barrington Levy,Here I Come,256,218664,False
755377052,Macka Splaff,Steel Pulse,Handsworth Revolution (Deluxe Edition),260,290456,False
548854112,Cool Down The Pace,Gregory Isaacs,Night Nurse (Expanded Edition),316,668746,False
62710607,Under Me Sensi,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),192,318929,False
13118547,Good Thing Going,Sugar Minott,Good Thing Going,198,61542,False
65209054,Sweet and Dandy,Toots & The Maytals,Toots & The Maytals - Pressure Drop,177,191683,False
3088654,I Need A Roof (2001 Digital Remaster),The Mighty Diamonds,Right Time,168,285685,False
140642579,Wall Street,Jackie Mittoo,The Keyboard King at Studio One,434,159203,False
2293797,Misty Morning,Bob Marley & The Wailers,Kaya,213,482443,False
6699041,Jacqueline,Hugh Mundell,Mundell,187,335750,False
101607833,World a Reggae (Out in the Street They Call It Murder),Ini Kamoze,Debut,237,584255,False
122932888,54-46 Was My Number,Toots & The Maytals,In The Dark,204,249720,False
7571192,Revolution,Dennis Brown,Reggae Anthology: Dennis Brown - Crown Prince of Reggae - Singles (1972-1985),259,408296,False
10296048,Smoking My Ganja,Capital Letters,Headline news,262,318503,False
13826577,From the Ghetto,Jimmy Riley,From The Ghetto,198,25810,False
6711982,Bredda Gravalicious,Wailing Souls,The Very Best Of The Wailing Souls,231,180411,False
1431856122,Right Time,Mighty Diamonds,Reggae Anthology: Mighty Diamonds - Pass The Knowledge,191,159792,False
6709810,Too Experienced,Barrington Levy,The Barrington Levy Collection,202,73955,False
6713022,Police In Helicopter,John Holt,Police In Helicopter,219,585360,False
6712270,Freelance Lover,Johnny Osbourne,Never Stop Fighting,210,165787,False
63395110,Fisherman,The Congos,Heart Of The Congos,328,481666,False
2237442,"Mix Up, Mix Up",Bob Marley & The Wailers,Confrontation,307,365330,False
6712991,One In A Million,Half Pint,One In A Million,181,127485,False
