id,title,artist,album,duration_sec,rank,explicit,preview_url
1899060227,End of Beginning,Djo,DECIDE,159,999711,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/d/3/0/8d3e2d737a96e28902c7edca8b18e1f7.mp3?hdnea=exp=1773080230~acl=/api/1/1/8/d/3/0/8d3e2d737a96e28902c7edca8b18e1f7.mp3*~data=user_id=0,application_id=42~hmac=8bbffc215d7c8bf22abe9dbc2b3cc1b2af2a8dc625fea4dd1b9327349c142f7e"
3345513301,Burning Blue,Mariah The Scientist,Burning Blue,205,692347,False,"https://cdnt-preview.dzcdn.net/api/1/1/1/d/2/0/1d205fb6333271008ec338059f33e81b.mp3?hdnea=exp=1773080230~acl=/api/1/1/1/d/2/0/1d205fb6333271008ec338059f33e81b.mp3*~data=user_id=0,application_id=42~hmac=7d9c1c16e16c7167ebe626b85980173d73834f7c12b95d068130d809acf57bee"
15586246,Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,241,833702,False,"https://cdnt-preview.dzcdn.net/api/1/1/8/9/f/0/89fa971ce8594abd29d87e7891cb03b8.mp3?hdnea=exp=1773080230~acl=/api/1/1/8/9/f/0/89fa971ce8594abd29d87e7891cb03b8.mp3*~data=user_id=0,application_id=42~hmac=498d49ae0c8bc66443c7a25985788c2992764e1b279d961f510d72ae803b223c"
88845911,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Deluxe),249,684479,False,"https://cdnt-preview.dzcdn.net/api/1/1/4/4/d/0/44d3a41906006ef9fedbea860c9b7912.mp3?hdnea=exp=1773080230~acl=/api/1/1/4/4/d/0/44d3a41906006ef9fedbea860c9b7912.mp3*~data=user_id=0,application_id=42~hmac=dd743ca5957460182cb7f9084b0bcbb5287c2604d80a8fdb6a4cc93bf8b1633b"
993641082,Wildfires,Sault,Untitled (Black Is),206,749449,False,"https://cdnt-preview.dzcdn.net/api/1/1/2/b/4/0/2b4f6151458cb0dddff181ee8e56816f.mp3?hdnea=exp=1773080230~acl=/api/1/1/2/b/4/0/2b4f6151458cb0dddff181ee8e56816f.mp3*~data=user_id=0,application_id=42~hmac=25fa23942d52191491d639e3ec7f3fdd01c99ea4d2d05096f86044aff70904bf"
447552822,Pour Some Sugar On Me,Def Leppard,Hysteria,265,712483,False,"https://cdnt-preview.dzcdn.net/api/1/1/5/b/8/0/5b87fbdb6487f201b23d37e7e2adea41.mp3?hdnea=exp=1773080230~acl=/api/1/1/5/b/8/0/5b87fbdb6487f201b23d37e7e2adea41.mp3*~data=user_id=0,application_id=42~hmac=40e05b1d5691ac6b8e4755a8861e4076ea4dc7988bcdc7b8836ebfa4614c6731"
3337441901,Better Than the Bottle,Cody Jinks,Better Than the Bottle,272,99564,False,"https://cdnt-preview.dzcdn.net/api/1/1/a/2/7/0/a274967feb9d62e7b96425181934c782.mp3?hdnea=exp=1773080230~acl=/api/1/1/a/2/7/0/a274967feb9d62e7b96425181934c782.mp3*~data=user_id=0,application_id=42~hmac=4b8986e0d147253d62be3a7fee36bf2e94a960f7c33ebcfb0b07c368ecaa4fec"
538660022,Livin' On A Prayer,Bon Jovi,Slippery When Wet,249,933844,False,"https://cdnt-preview.dzcdn.net/api/1/1/7/c/1/0/7c1d95d2fe6ad479f66d912db049df50.mp3?hdnea=exp=1773080230~acl=/api/1/1/7/c/1/0/7c1d95d2fe6ad479f66d912db049df50.mp3*~data=user_id=0,application_id=42~hmac=c771f4ba69eaa189625d7346fa06b7f49f251c8fcd282736a3520b834dd4ae6e"
1728846537,Whiskey On You,Nate Smith,Whiskey On You,183,544538,False,"https://cdnt-preview.dzcdn.net/api/1/1/9/6/4/0/9642a6544cfa2eaaf2b5aa077bd4f639.mp3?hdnea=exp=1773080230~acl=/api/1/1/9/6/4/0/9642a6544cfa2eaaf2b5aa077bd4f639.mp3*~data=user_id=0,application_id=42~hmac=f2e3b81db0c794c996c2d0f773d96a6919df0b5537087819004309d8ecd41ec4"
14932098,Lonely Boy,The Black Keys,El Camino,193,836048,False,"https://cdnt-preview.dzcdn.net/api/1/1/3/0/3/0/3031da4126a0dc1cb75571f31010248f.mp3?hdnea=exp=1773080230~acl=/api/1/1/3/0/3/0/3031da4126a0dc1cb75571f31010248f.mp3*~data=user_id=0,application_id=42~hmac=1f62b85c514cc8356f96015cc87ba66e5d4e441fa0f3f52507b1493a4115041b"
