id,title,artist,album,duration_sec,rank,explicit
3208869721,No Business,Durand Bernarr,BLOOM,318,237837,False
2856858292,Send Your Loving,Ama Louise,Send Your Loving,214,383234,False
1845134237,We Never Stop,Candy Dulfer,We Never Stop,341,90953,False
2432831,Distant Lover,Marvin Gaye,Let's Get It On,256,669030,False
509743642,Never Gonna Stop Lovin' You,Byrne & Barnes,An Eye for an Eye,217,163499,False
66609426,Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers),Daft Punk,Get Lucky (Radio Edit - feat. Pharrell Williams and Nile Rodgers),248,954234,False
3068984461,Soh-Soh,Odeal,Sunday At Zuri's,184,589708,True
3726341602,Ordinary Feelings,Mack Keane,Ordinary Feelings,235,275444,False
2073935877,Back to your Place,October London,Back to your Place,203,586386,False
509743702,Keep on Running,Byrne & Barnes,An Eye for an Eye,197,107788,False
3764951032,Typical,Bellah,Typical,176,374222,True
2959232581,Rescue,Tyrese,Beautiful Pain,300,87428,False
692966892,You're so Fine,Papa Bear & His Cubs,You're so Fine,173,300223,False
15586296,Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,365,865402,False
1100051422,Eugene,Arlo Parks,Collapsed In Sunbeams,223,284764,True
1133408902,Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,193,661771,False
2432823,Let's Get It On,Marvin Gaye,Let's Get It On,293,555771,False
3200659821,Super Diana,Korona,Keep On Hustling b/w Super Diana,223,51740,False
78065739,Coffee Cold,Galt MacDermot,Shapes of Rhythm/Woman Is Sweeter,205,675326,False
16058674,Easy to Come Home (feat. Roxie Ray),Dojo Cuts,Take from Me (feat. Roxie Ray),213,473315,False
3670420972,AGAIN,SAHXL,AGAIN,152,131816,False
1101120,Ain't Nothing Like The Real Thing,Marvin Gaye,Greatest Hits,136,363147,False
629234112,Seasons Change,The Jack Moves,All My Love b/w Seasons Change,245,29742,False
1845483657,Jammin' Tonight,Candy Dulfer,Jammin' Tonight,247,118562,False
131766714,24 for Betty Page,Snowboy,The 3 Faces of Snowboy,457,136770,False
1584342342,The Humpty Dance,Digital Underground,The Best Of Digital Underground: Playwutchyalike,391,41712,False
1101119,You're All I Need To Get By,Marvin Gaye,Greatest Hits,170,224595,False
3360212691,Happiness,Lizzie Berchie,Night Shift,212,97836,False
509743662,Love You out of Your Mind,Byrne & Barnes,An Eye for an Eye,195,147998,False
1384398702,You Are My Sunshine,Ray Charles,True Genius,179,226815,False
2603866,Ain't No Mountain High Enough,Marvin Gaye,Favorites,147,214507,False
62961057,Don't Mess With My Man,Lucy Pearl,Lucy Pearl,217,532575,False
3510115201,Lost In You,Dayo Bello,DB,240,137429,False
1494772482,Petty Lover,Jaz Karis,Pretty Dreamer / Petty Lover,160,434805,True
